"","igae","ipc","ifb","cetes","epu","mon","fis","com","reg"
"179"," 91.8995","29770.52","100.08"," 7.44"," 2.5322541","0.97127663","0.89061793","0.26293842","0.40742110"
"180"," 91.9049","29536.83","100.55"," 7.44"," 4.9099095","1.47800527","1.23335199","0.89829830","1.30025390"
"181"," 92.3877","28793.64"," 97.03"," 7.42"," 5.3365947","1.72478863","2.90664401","0.47748151","0.22768058"
"182"," 92.4695","28918.52"," 95.90"," 7.43"," 3.7402706","1.46636670","1.35144944","0.47779074","0.44466369"
"183"," 91.5110","30912.99"," 92.83"," 7.43"," 2.5075921","0.85843691","1.20006165","0.23136553","0.21772801"
"184"," 93.0419","30281.41","101.30"," 7.44"," 3.1871680","0.87732153","1.74601934","0.29154934","0.27227780"
"185"," 92.7482","31975.47"," 99.61"," 7.44"," 3.0788209","0.75156738","1.38086571","0.47721650","0.46917135"
"186"," 93.3278","29395.49","100.75"," 7.56"," 2.4706662","0.75039089","0.98380056","0.56664829","0.16982646"
"187"," 93.4006","27501.02","103.85"," 7.93"," 1.9256846","0.58999220","0.76880794","0.41275404","0.15413040"
"188"," 92.3617","26290.99"," 98.35"," 8.18"," 2.5436435","0.50332992","1.05687601","0.37328855","0.61014899"
"189"," 92.0769","24888.90"," 97.12"," 8.17"," 6.3859177","2.35861215","2.83901660","0.40033856","0.78795039"
"190"," 92.7174","20445.32","103.75"," 7.74","10.3311224","3.68156063","4.22707470","1.12770599","1.29478106"
"191"," 91.0619","20534.72"," 96.94"," 7.43"," 6.7895122","2.67769956","2.01938241","1.07129935","1.02113093"
"192"," 89.8143","22380.32"," 98.78"," 8.02"," 5.2921629","2.02174790","2.15084531","0.68191393","0.43765572"
"193"," 86.8849","19565.14"," 88.00"," 7.59"," 6.4539966","2.13694430","2.90961764","0.36375414","1.04368054"
"194"," 86.4392","17752.18"," 81.83"," 7.12"," 7.7069607","2.66369950","2.34254883","1.80327101","0.89744138"
"195"," 86.1946","19626.75"," 86.18"," 7.03"," 5.2346217","2.32083235","1.73779370","0.98795946","0.18803616"
"196"," 85.5465","21898.85"," 84.02"," 6.05"," 3.0578100","1.09042042","1.54137144","0.28267119","0.14334691"
"197"," 85.0597","24331.71"," 84.96"," 5.29"," 3.0581079","1.06990797","1.27517209","0.26504447","0.44798334"
"198"," 86.3818","24368.38"," 87.56"," 4.98"," 3.0820256","0.83237393","1.67680537","0.18169164","0.39115467"
"199"," 87.9166","27043.50"," 89.80"," 4.59"," 2.3889286","0.84414833","1.05794896","0.20640385","0.28042749"
"200"," 87.5542","28129.95"," 85.95"," 4.49"," 2.4565621","0.79826252","0.86702637","0.35934857","0.43192469"
"201"," 87.9473","29232.24"," 86.74"," 4.48"," 3.3956306","1.25909005","1.43230234","0.46450623","0.23973200"
"202"," 88.8894","28646.03"," 91.12"," 4.51"," 2.5386219","1.25961022","0.76413314","0.29986704","0.21501151"
